FACILITYID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
2002825,DISTRICT YACHT COMPANY,Private,Commercial,,1409 WATER ST SE,,Washington DC,,20024,DC,3,,,38.87579692,-76.98559891,Geocoded address,DISTRICT YACHT CLUB,,No,No,No,No,No,No,No,No,No,No,No,,No,
4004737,ROBERT & ETHEL PRICE,Private,Retail fuel sales (non-marina),,5009 N CAPITOL ST NE,,Washington DC,,20011,DC,3,,,38.95136337,-77.00864649,Geocoded address,ROBERT & ETHEL PRICE,,No,No,No,No,No,No,No,No,No,No,No,,No,
7001354,TEXACO GAS STATION (FORMER),Private,Retail fuel sales (non-marina),,1100 EASTERN AV NE,,Washington DC,,20019,DC,3,,,38.90418741,-76.92430916,Geocoded address,FREDERICK B & BARBARA E INCE JR,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2019014.0
5003600,U. S. CONFERENCE OF CATHOLIC BISHOPS,Private,Other,,3211 4TH ST NE,,Washington DC,,20017,DC,3,,,38.92979406,-76.99947294,Geocoded address,U. S. CONFERENCE OF CATHOLIC BISHOPS,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4001958,TSUN HING CHEUNG,Private,Other,,6925 BLAIR RD NW,,Washington DC,,20012,DC,3,,,38.97430982,-77.0175387,Geocoded address,TSUN HING CHEUNG,,No,No,No,No,No,No,No,No,No,No,No,,No,
6003695,AMERICAN PROPERTIES INC.,Private,Commercial,,514 8TH ST SE,,Washington DC,,20003,DC,3,,,38.88220445,-76.99460373,Geocoded address,JAMES TOWNSEND,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002834,INCOR MOLDINGS INC - WENDY KIRBY,Private,Other,,927 15TH ST NW,,Washington DC,,20005,DC,3,,,38.90219136,-77.03339924,Geocoded address,INCOR MOLDINGS INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
6002028,HORNING BROTHERS,Private,Other,,1521-47 BENNING RD NE,,Washington DC,,20002,DC,3,,,38.89943816,-76.98179747,Geocoded address,HORNING BROTHERS,,No,No,No,No,No,No,No,No,No,No,No,,No,
7001688,GROCERY STORE,Private,Commercial,,4920 CENTRAL AV NE,,Washington DC,,20019,DC,3,,,38.89062469,-76.93192263,Geocoded address,"CAPITOL VIEW MARKET, INC",,No,No,No,No,No,No,No,No,No,No,No,,No,
6001297,JERRY'S CUSTOM AUTOMOTIVE CENTER,Private,Auto dealership/auto maintenance & repair,,1311 E ST SE,,Washington DC,,20003,DC,3,,,38.88266346,-76.98779449,Geocoded address,JERRY'S CUSTOM AUTOMOTIVE CENTER,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2018007.0
3004957,SHEFFIELD CONDOMINIUM,Private,Residential,,2320 WISCONSIN AV NW,,Washington DC,,20007,DC,3,,,38.9204521,-77.0720758,Geocoded address,SHEFFIELD CONDOMINIUM,Stephanie Larson,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
7004089,GRANT PARK NURSING HOME,Private,Residential,,5000 N H BURROUGHS AV NE,,Washington DC,,20019,DC,3,,,38.8992555,-76.92827048,Geocoded address,GRANT PARK CARE CENTER,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2008015.0
7000955,KENTUCKY FRIED CHICKEN,Private,Commercial,,2704 GOOD HOPE RD SE,,Washington DC,,20020,DC,3,,,38.86107397,-76.96872356,Geocoded address,STEVE ANTONIOU,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2023005.0
5003080,KENNETH J. WELCH,Private,Auto dealership/auto maintenance & repair,,REAR 125 V ST NW,,Washington DC,,20005,DC,3,,,38.91831476,-77.01298489,Geocoded address,KENNETH J. WELCH,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2000028.0
2000250,GWU - CORCORAN HALL,Private,School,,725 21ST ST NW,,Washington DC,,20006,DC,3,,,38.89909797,-77.046365,Geocoded address,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2000251,GWU - ACADEMIC CENTER,Private,School,,801 22ND ST NW,,Washington DC,,20037,DC,3,,,38.89998954,-77.0485572,Geocoded address,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2000252,GWU - BURNS LAW CENTER,Private,School,,"720 20TH ST NW
716 20TH ST NW",,Washington DC,,20052,DC,3,,,38.89895,-77.0451,,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,93062.0
2000258,GWU - LISNER HALL,Private,School,,2023 G ST NW,,Washington DC,,20052,DC,3,,,38.89860481,-77.04578298,,THE GEORGE WASHINGTON UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2009014.0
2000261,GWU - UNIV STUDENT CTR (FORMERLY MARVIN CTR),Private,School,,800 21ST ST NW,,Washington DC,,20052,DC,3,,,38.89999,-77.04716,,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,92003.0
2000265,GWU - ROSS HALL,Private,School,,2300 I ST NW,,Washington DC,,20052,DC,3,,,38.90009579,-77.05078499,,THE GEORGE WASHINGTON UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000935,GWU - SCIENCE AND ENGINEERING HALL,Private,School,,"800 22ND ST NW
",,Washington DC,,20052,DC,3,,,38.90005813,-77.04932053,,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
3001530,MT. VERNON COLLEGE,Private,School,,2100 FOXHALL RD NW,,Washington DC,,20007,DC,3,,,38.91827504,-77.09014233,Geocoded address,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,99066.0
2005187,2100 PENNSYLVANIA AVENUE,Private,School,,2100 PENNSYLVANIA AV NW,,Washington DC,,20037,DC,3,,,38.90103479,-77.04720979,Geocoded address,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2015018.0
9000731,GWU - POTOMAC HOUSE,Private,School,,2021 F ST NW,,Washington DC,,20006,DC,3,,,38.89757561,-77.04554727,,THE GEORGE WASHINGTON UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2002500,GW - BLDG EE MANITENANCE SHOP,Private,School,,2129 I ST NW REAR,,Washington DC,,20037,DC,3,,,38.90086722,-77.04790449,Geocoded address,THE GEORGE WASHINGTON UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,No,
2001166,YWCA,Private,Commercial,,924 G ST NW,,Washington DC,,20001,DC,3,,,38.89800617,-77.02511785,Geocoded address,YMCA,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000176,CAPITAL HILL CITGO,Private,Retail fuel sales (non-marina),,2300 PENNSYLVANIA AV SE,,Washington DC,,20037,DC,3,,,38.87455234,-76.97187133,Geocoded address,QUARLES PETROLEUM INC,,Yes,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,93086.0
5001939,LOUISE B. MATEER,Private,Other,,1025 BRENTWOOD RD NE,,Washington DC,,20018,DC,3,,,38.91899924,-76.99124004,Geocoded address,LOUISE B. MATEER,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000301,SQ 317 ASSOC LTD PARTNERSHIP,Private,Other,,1121 I ST NW,,Washington DC,,20006,DC,3,,,38.90134,-77.02795,Geocoded address,SQ 317 ASSOC LTD PARTNERSHIP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000257,GALLAUDET UNIV - CUB,Private,School,,800 FLORIDA AV NW,,Washington DC,,20002,DC,3,,,38.90736,-76.99374,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
9000258,GALLAUDET UNIV - FIELD HOUSE,Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
9000259,GALLAUDET UNIV - EMG BUILDING,Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
9000260,GALLAUDET UNIV - (RH-A),Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
9000261,GALLAUDET UNIV - (RH-E),Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000262,GALLAUDET UNIV - LRC ANNEX,Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2001040.0
9000263,GALLAUDET UNIV - APPLEBY,Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
9000264,GALLAUDET UNIV - CARLIN HALL,Private,School,,800 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90575333,-76.99488464,Geocoded address,GALLAUDET UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
8005482,NATIONAL HARBORSIDE,Private,Hospital (or other medical),,4601 M L KING JR AV SW,,Washington DC,,20032,DC,3,,,38.82485094,-77.01322551,,DCA HADLEY LTAC LLC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
3000040,EMBASSY OF EGYPT,Private,Other,,3521 INTERNATIONAL CT NW,,Washington DC,,20008,DC,3,,,38.94506132,-77.06807895,,EMBASSY OF EGYPT,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5001488,SINGLETARY AUTO BODY,Private,Auto dealership/auto maintenance & repair,,1358 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90132447,-76.98609467,Geocoded address,SINGLETARY AUTO BODY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2021009.0
2004357,R B ASSOCIATES INC,Private,Other,,1028 33RD ST NW,,Washington DC,,20007,DC,3,,,38.90446845,-77.06623893,Geocoded address,R B ASSOCIATES INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
5001905,AL ALSHAR SERVICE CENTER,Private,Auto dealership/auto maintenance & repair,,1842 BLADENSBURG RD NE,,Washington DC,,20002,DC,3,,,38.91541681,-76.97457888,Geocoded address,AL ALSHAR SERVICE CENTER,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2006018.0
5000353,YOUR AUTO REPAIR SHOP,Private,Auto dealership/auto maintenance & repair,,3700 12TH ST NE,,Washington DC,,20017,DC,3,,,38.93487444,-76.99150891,Geocoded address,METRO TWELVE INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003463,LAFONDA MEXICAN RESTAURANT,Private,Commercial,,1635 17TH ST NW,,Washington DC,,20009,DC,3,,,38.91232,-77.03846,Geocoded address,R.F & A.P. CALLAHAN,,No,No,No,No,No,No,No,No,No,No,No,,No,
5001894,FORMER WILLIAMS BUS TOUR,Private,Other,,1021 BLADENSBURG RD NE,,Washington DC,,20002,DC,3,,,38.90319796,-76.98111597,Geocoded address,WILLIAMS BUS TOUR,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
1000806,JACK COOPERSMITH/WILLIAM CALOMIR,Private,Residential,,2730 GEORGIA AV NW,,Washington DC,,20001,DC,3,,,38.92585424,-77.02312587,Geocoded address,JACK COOPERSMITH/WILLIAM CALOMIR,,No,No,No,No,No,No,No,No,No,No,No,,No,
5005298,ARTHUR G. WOLFF,Private,Other,,1301 N CAPITOL ST NE,,Washington DC,,20002,DC,3,,,38.90675,-77.009,Geocoded address,ARTHUR G. WOLFF,,No,No,No,No,No,No,No,No,No,No,No,,No,
1001694,M & L EQUITY,Private,Residential,,2328 CHAMPLAIN ST NW,,Washington DC,,20009,DC,3,,,38.92067044,-77.04128382,Geocoded address,M & L EQUITY,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000679,GEORGETOWN AUTOMOTIVE SERVICES,Private,Retail fuel sales (non-marina),,1576 WISCONSIN AV NW,,Washington DC,,20007,DC,3,,,38.91051977,-77.06533968,Geocoded address,MS MARY ANN OWEISS,,No,No,No,No,No,No,No,No,No,No,No,,No,
7000381,MT VERNON UNITED METHODIST CHURC,Private,Other,,4147 MINNESOTA AV NE,,Washington DC,,20019,DC,3,,,38.89923969,-76.94554301,Geocoded address,MT VERNON UNITED METHODIST CHURC,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000204,BOULEVARD CITGO SERVICE C/O WOODROW M ROYCE,Private,Retail fuel sales (non-marina),,4885 MACARTHUR BLVD NW,,Washington DC,,20007,DC,3,,,38.91788496,-77.09692132,Geocoded address,WOODROW M ROYCE T/A BLVD CITGO,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,99075.0
5004590,A M BRIGGS COMPANY,Private,Commercial,,2130 QUEENS CHAPEL RD NE,,Washington DC,,20018,DC,3,,,38.91891803,-76.97277287,Geocoded address,AM BRIGGS COMPANY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,98074.0
2005249,DOMINO'S PIZZA TEAM WASH INC,Private,Commercial,,3255 PROSPECT ST NW,,Washington DC,,20007,DC,3,,,38.90616432,-77.06471288,Geocoded address,DOMINO'S PIZZA TEAM WASH INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
1001544,CLEMETINE P. KING,Private,Residential,,720 GIRARD ST NW,,Washington DC,,20001,DC,3,,,38.92586856,-77.02356468,Geocoded address,CLEMETINE P. KING,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000418,HALF STREET SE LLC,Private,Commercial,,1015 HALF ST SE,,Washington DC,,20003,DC,3,,,38.87795235,-77.00792537,Geocoded address,HALF STREET SE LLC,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2007024.0
4000040,FORMER BP SERVICE STATION 99018,Private,Retail fuel sales (non-marina),,6431 GEORGIA AV NW,,Washington DC,,20012,DC,3,,,38.96840479,-77.02714841,Geocoded address,BP OIL COMPANY,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93072.0
2004132,EMBASSY OF MONGOLIA,Private,Other,,2833 M ST NW,,Washington DC,,20007,DC,3,,,38.90538256,-77.05787186,Geocoded address,EMBASSY OF MONGOLIA,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000012,WILLCO CONSTRUCTION CO INC,Private,Commercial,,2001 M ST NW,,Washington DC,,20036,DC,3,,,38.9061678,-77.04525092,Geocoded address,POST OFFICE BOX ASSOCIATES,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2003085.0
13,CARRYOUT,Private,Commercial,,2921 GEORGIA AV NW,,Washington DC,,20001,DC,3,,,38.92801397,-77.02274749,Geocoded address,SOUNG B & HAE S CHOI,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2000058.0
18,FORMER AUTO REPAIR/EXXON STATION,Private,Retail fuel sales (non-marina),,1783 FLORIDA AV NW,,Washington DC,,20009,DC,3,,,38.91727,-77.04116,Geocoded address,BEN LEVENSON ETAL,,No,No,No,No,No,No,No,No,No,No,No,,No,
29,FORMER PETROVITCH AUTO REPAIR,Private,Auto dealership/auto maintenance & repair,,2303 14TH ST NW,,Washington DC,,20009,DC,3,,,38.92067282,-77.03164887,Geocoded address,FORMER PETROVITCH AUTO REPAIR INC,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2008012.0
57,WASHINGTON PUMP & WELL CO,Private,Commercial,,201 L ST NE,,Washington DC,,20002,DC,3,,,38.90341952,-77.00311634,Geocoded address,200 K LTD PARTNERSHIP,,No,No,No,No,No,No,No,No,No,No,No,,No,
64,STATLER GARAGE,Private,Other,,1514 L ST NW,,Washington DC,,20005,DC,3,,,38.90373,-77.03487,Geocoded address,LINCOLN PROPERTY COMPANY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2003132.0
111,MAX SCHLER INCORPORATED,Private,Residential,,1117 I ST NW,,Washington DC,,20005,DC,3,,,38.90134,-77.02794,Geocoded address,GEORGE BASILIKO,,No,No,No,No,No,No,No,No,No,No,No,,No,
136,THE LION BUILDING,Private,Other,,"1231 20TH ST NW 
1233 20TH ST NW",,Washington DC,,20036,DC,3,,,38.90668471,-77.04453021,Geocoded address,LION LTD PARTNERSHIP,,No,No,No,No,No,No,No,No,No,No,No,,No,
149,HEADQUARTERS HOLDING CO,Private,Other,,1125 15TH ST NW,,Washington DC,,20005,DC,3,,,38.90446865,-77.03410415,Geocoded address,HEADQUARTERS HOLDING CO,,No,No,No,No,No,No,No,No,No,No,No,,No,
153,CRESCENT ELECTRIC,Private,Commercial,,1832 18TH ST NW,,Washington DC,,20009,DC,3,,,38.91512441,-77.04194927,Geocoded address,FRANCIS H & A H THOMAS,,No,No,No,No,No,No,No,No,No,No,No,,No,
163,FORMER THOMAS SOMERVILLE COMPANY,Private,Commercial,,1232 1ST ST NE,,Washington DC,,20002,DC,3,,,38.90715,-77.0059,Geocoded address,51 N ASSOCIATES,,No,No,No,No,No,No,No,No,No,No,No,,No,
185,POTOMAC AVE PROJECT,Private,Other,,1120 8TH ST SE,,Washington DC,,20003,DC,3,,,38.87696,-76.99496,Geocoded address,POTOMAC AVE PROJECT,,No,No,No,No,No,No,No,No,No,No,No,,No,
218,LYNN PROPERTIES INC,Private,Other,,3330 M ST NW,,Washington DC,,20007,DC,3,,,38.90482019,-77.06694171,Geocoded address,LYNN PROPERTIES INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
260,NATIONAL TELEPHONE,Private,Commercial,,2626 PENNSYLVANIA AV NW,,Washington DC,,20037,DC,3,,,38.90402268,-77.05540486,Geocoded address,NATIONAL TELEPHONE,,No,No,No,No,No,No,No,No,No,No,No,,No,
263,PARKING LOT,Private,Commercial,,3214 PROSPECT ST NW,,Washington DC,,20007,DC,3,,,38.90585,-77.06349,Geocoded address,JAMES S. BURRUSS JR,,No,No,No,No,No,No,No,No,No,No,No,,No,
280,A V RISTORANTE ITALIANO,Private,Other,,"601 NEW YORK AV NW 
FORMER TEXACO",,Washington DC,,20001,DC,3,,,38.91207,-77.01902,Geocoded address,A V RISTORANTE ITALIANO,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2014018.0
300,9TH ST RESTAURANT INC,Private,Other,,506 K ST NW,,Washington DC,,20001,DC,3,,,38.90227984,-77.01933859,Geocoded address,9TH ST RESTAURANT INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
320,FORMER GAS STATION,Private,Retail fuel sales (non-marina),,7730 GEORGIA AV NW,,Washington DC,,20012,DC,3,,,38.98341969,-77.02684539,Geocoded address,JACK & ESTHER COPPERSMITH,,No,No,No,No,No,No,No,No,No,No,No,,No,
336,CHURCH,Private,Other,,819 UPSHUR ST NW,,Washington DC,,20011,DC,3,,,38.94213483,-77.02415453,Geocoded address,PETROLYN E BARRETT,,No,No,No,No,No,No,No,No,No,No,No,,No,
5004050,85 HANOVER PLACE,Private,Residential,,85 HANOVER PL NW,,Washington DC,,20001,DC,3,,,38.90809846,-77.01163972,Geocoded address,DR MANOHAR GULATI,,No,No,No,No,No,No,No,No,No,No,No,,Yes,98105.0
9000376,75 HANOVER PL NW,Private,Residential,,75 HANOVER PL NW,,Washington DC,,20001,DC,3,,,38.90805731,-77.01136981,Geocoded address,DR MANOHAR GULATI,,No,No,No,No,No,No,No,No,No,No,No,,No,
402,GAS STATION,Private,Retail fuel sales (non-marina),,3001 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.93365,-76.96597,Geocoded address,JOHN R & ROBERT FRIEDSON,,No,No,No,No,No,No,No,No,No,No,No,,No,
403,TEXACO GAS STATION (FORMER),Private,Retail fuel sales (non-marina),,3131 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.93471788,-76.9637782,Geocoded address,GJ & H ENTERPRISES,,No,No,No,No,No,No,No,No,No,No,No,,No,
410,FORMER GAS STATION,Private,Commercial,,1369 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91529109,-76.98528226,Geocoded address,EDITH ANN KARL,,No,No,No,No,No,No,No,No,No,No,No,,No,
418,GAS STATION,Private,Auto dealership/auto maintenance & repair,,18TH & RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.92765063,-76.97909684,Geocoded address,EDGAR M & SOPHIE LEVY,,No,No,No,No,No,No,No,No,No,No,No,,No,
434,TRS OF SRFG BAPTIST CHURCH,Private,Other,,925 12TH ST NE,,Washington DC,,20002,DC,3,,,38.90207175,-76.98996061,Geocoded address,TRS OF SRFG BAPTIST CHURCH,,No,No,No,No,No,No,No,No,No,No,No,,No,
452,FORMER ESSO STATION,Private,Retail fuel sales (non-marina),,3625 AMES ST NE,,Washington DC,,20019,DC,3,,,38.89049,-76.95293,Geocoded address,GENE S & BETTY A SIEGEL,,No,No,No,No,No,No,No,No,No,No,No,,No,
456,FORMER F. L. WATKINS COMPANY INC,Private,Other,,4301 SHERIFF RD NE,,Washington DC,,20019,DC,3,,,38.90286,-76.94033,Geocoded address,DIVINE LOVE BAPTIST CHURCH,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2000048.0
473,DRY CLEANERS,Private,Commercial,,4013 S CAPITOL ST SW,,Washington DC,,20032,DC,3,,,38.83090763,-77.00798971,Geocoded address,JENCO INVESTMENTS LTD,,No,No,No,No,No,No,No,No,No,No,No,,No,
8010011,TIMELY EXXON,Private,Commercial,,3054 MT PLEASANT ST NW,,Washington DC,,20009,DC,3,,,,,,VASILI KATOPOTHIS,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2023011.0
1002675,FORMER GAS STATION,Private,Retail fuel sales (non-marina),,2133 10TH ST NW,,Washington DC,,20001,DC,3,,,38.91906492,-77.0258093,Geocoded address,SAMUEL GORDON,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2003109.0
2000391,"FORMER GREY HOUND LINES, INC.",Private,Commercial,,1110 NEW YORK AV NW,,Washington DC,,20005,DC,3,,,38.90026986,-77.02758396,Geocoded address,MANUFACTURERS LIFE INSURANCE,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000968,TRACKS NIGHTCLUB,Private,Commercial,,57 L ST SE,,Washington DC,,20003,DC,3,,,38.87751,-77.00668,Geocoded address,80 M TRACKS LTD PARTNERS,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2000019.0
2002738,LUNA CLEANERS,Private,Commercial,,1605 14TH ST NW,,Washington DC,,20009,DC,3,,,38.91136,-77.03158,Geocoded address,STEPHEN H JAFFE,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002842,FORMER SHELL OIL COMPANY,Private,Retail fuel sales (non-marina),,1525 15TH ST NW,,Washington DC,,20005,DC,3,,,38.91057349,-77.034197,Geocoded address,RPG MANAGEMENT INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003434,SUNDERLAND BUILDING,Private,Other,,1320 19TH ST NW,,Washington DC,,20036,DC,3,,,38.908102,-77.04377637,Geocoded address,ARTHUR H KEYES JR,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003548,PRIVATE HOME,Private,Residential,,723 3RD ST NE,,Washington DC,,20002,DC,3,,,38.89951586,-77.00180138,Geocoded address,DORIS C OLOYEDE,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003685,COCA COLA BOTTLING COMPANY,Private,Commercial,,"400 7TH ST SW 
DUPLICATE OF FAC.ID 2-003686",,Washington DC,,20024,DC,3,,,38.8840812,-77.0215241,Geocoded address,DAVID NASSIF ASSOCIATES,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003686,DAVID NAFFIS ASSOCIATES,Private,Other,,REAR 400 7TH ST SW,,Washington DC,,20024,DC,3,,,38.8840812,-77.0215241,Geocoded address,DAVID NASSIF ASSOCIATES,,No,No,No,No,No,No,No,No,No,No,No,,No,
2004137,CONSTANCE A H HOGAN,Private,Commercial,,3108 M ST NW,,Washington DC,,20007,DC,3,,,38.9049899,-77.06153719,Geocoded address,CONSTANCE A H HOGAN,,No,No,No,No,No,No,No,No,No,No,No,,No,
2004689,UNKNOWN,Private,Other,,1018 RHODE ISLAND AV NW,,Washington DC,,20001,DC,3,,,38.91042572,-77.02671796,Geocoded address,BETHESDA INVESTMENT GROUP,,No,No,No,No,No,No,No,No,No,No,No,,No,
2004954,FURNITURE SPECIALTY STORE,Private,Commercial,,1634 WISCONSIN AV NW,,Washington DC,,20007,DC,3,,,38.91167061,-77.0657956,Geocoded address,NAM WON & SOON M PACK,,No,No,No,No,No,No,No,No,No,No,No,,No,
2005458,UNKNOWN,Private,Other,,620 NEW YORK AV NW,,Washington DC,,20001,DC,3,,,38.90304173,-77.02062689,Geocoded address,MARTIN AARONSON,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000871,WILLIAM J BROOKS,Private,Other,,5120 GEORGIA AV NW,,Washington DC,,20011,DC,3,,,38.95254623,-77.02784161,Geocoded address,AKRAM RASTEGARI,,No,No,No,No,No,No,No,No,No,No,No,,No,
4001106,AUTO,Private,Retail fuel sales (non-marina),,1201 KENNEDY ST NW,,Washington DC,,20011,DC,3,,,38.95653074,-77.02830512,Geocoded address,"LACY, KENNEDY LLC",,No,No,No,No,No,No,No,No,No,No,No,,Yes,2020001.0
4002269,HIMMELFARB PROPERTIES INC,Private,Auto dealership/auto maintenance & repair,,1240 UPSHUR ST NW,,Washington DC,,20011,DC,3,,,38.94162543,-77.02769512,Geocoded address,HIMMELFARB PROPERTIES INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4003904,JAMES G VANN FUNERAL HOME INC,Private,Commercial,,4101 KANSAS AV NW,,Washington DC,,20011,DC,3,,,38.94081,-77.0267,Geocoded address,JAMES G VANN FUNERAL HOME INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
4004731,FOOD & FRIENDS,Private,Auto dealership/auto maintenance & repair,,219 RIGGS RD NE,,Washington DC,,20011,DC,3,,,38.95567755,-77.00219968,Geocoded address,GISI J HEANRY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2002049.0
5001404,LARRY FLAX,Private,Commercial,,703 EDGEWOOD ST NE,,Washington DC,,20017,DC,3,,,38.9250448,-76.99582567,Geocoded address,LARRY FLAX,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2006041.0
5001914,SERENA CORP T/A DELI CITY,Private,Commercial,,2200 BLADENSBURG RD NE,,Washington DC,,20018,DC,3,,,38.91971814,-76.97085882,Geocoded address,MORRIS & SERENA ECKSTEIN,,No,No,No,No,No,No,No,No,No,No,No,,No,
